ECG_Value,Label
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
521,No Stress
